Date,Close/Last,Volume,Open,High,Low
04/27/2023,$99.93,8166466,$97.13,$100.065,$96.71
04/26/2023,$96.61,8634531,$97.84,$98.48,$96.455
04/25/2023,$98.01,6511394,$99.375,$99.71,$98.01
04/24/2023,$99.68,8540571,$100.145,$100.735,$98.67
04/21/2023,$99.57,9467979,$98.16,$99.72,$97.72
04/20/2023,$98.07,7762736,$97.75,$98.58,$97.391
04/19/2023,$98.75,11523310,$99.78,$99.83,$98.355
04/18/2023,$100.93,8180148,$100.61,$101.15,$99.595
04/17/2023,$100.30,6705269,$99.57,$100.57,$99.15
04/14/2023,$99.90,7337250,$100.50,$100.86,$98.93
04/13/2023,$100.84,8744977,$98.51,$101.07,$98.51
04/12/2023,$97.94,9289196,$101.25,$102.22,$97.70
04/11/2023,$100.42,7504624,$101.16,$101.91,$100.29
04/10/2023,$100.81,8016576,$99.30,$100.81,$98.90
04/06/2023,$99.97,7042486,$99.44,$100.32,$98.55
04/05/2023,$99.91,7747230,$99.70,$100.18,$98.632
04/04/2023,$99.57,6794168,$100.30,$100.42,$98.76
04/03/2023,$99.76,7313201,$100.21,$100.43,$99.27
03/31/2023,$100.13,8919965,$98.89,$100.20,$98.50
03/30/2023,$98.10,7669482,$98.73,$98.92,$97.67
03/29/2023,$96.87,5889123,$96.08,$96.91,$95.35
03/28/2023,$94.82,5426053,$95.51,$96.00,$94.59
03/27/2023,$95.62,7487900,$94.78,$96.02,$94.38
03/24/2023,$94.08,9544154,$94.81,$95.00,$93.02
03/23/2023,$95.83,9527009,$95.28,$97.02,$94.76
03/22/2023,$94.90,8811105,$97.45,$97.93,$94.82
03/21/2023,$96.54,7285766,$95.17,$96.85,$95.17
03/20/2023,$94.22,6657152,$93.43,$94.92,$93.00
03/17/2023,$93.20,12943190,$94.05,$94.27,$92.91
03/16/2023,$94.29,9946678,$92.67,$94.5599,$91.89
03/15/2023,$93.10,9543836,$91.63,$93.3557,$91.41
03/14/2023,$93.36,10323630,$94.00,$94.30,$92.34
03/13/2023,$92.60,11915320,$91.885,$94.0242,$90.46
03/10/2023,$93.57,13978850,$95.60,$95.90,$92.83
03/09/2023,$96.14,8275586,$99.45,$100.05,$95.92
03/08/2023,$99.30,5668738,$99.00,$99.62,$98.30
03/07/2023,$99.06,6951340,$100.40,$100.94,$98.89
03/06/2023,$100.66,6773261,$101.61,$102.695,$100.49
