Date,Close/Last,Volume,Open,High,Low
04/27/2023,$165.39,2105946,$166.00,$166.29,$162.775
04/26/2023,$165.12,3087416,$172.95,$174.13,$164.69
04/25/2023,$172.86,2226257,$173.80,$174.71,$172.40
04/24/2023,$174.33,1146863,$174.78,$175.11,$173.47
04/21/2023,$174.41,1321101,$173.90,$174.94,$173.11
04/20/2023,$173.76,2001673,$172.90,$174.5425,$172.76
04/19/2023,$173.71,1430411,$172.38,$174.38,$172.38
04/18/2023,$173.66,1867701,$171.59,$173.93,$171.135
04/17/2023,$169.75,1221218,$168.73,$170.09,$168.235
04/14/2023,$168.10,1736450,$165.50,$168.19,$165.50
04/13/2023,$165.50,1569685,$163.015,$165.63,$161.715
04/12/2023,$161.47,1370642,$164.93,$165.29,$161.01
04/11/2023,$163.88,1204103,$163.45,$164.73,$162.99
04/10/2023,$162.79,1256558,$162.23,$165.37,$162.23
04/06/2023,$163.05,1092351,$163.00,$163.5899,$161.385
04/05/2023,$162.56,1380117,$163.62,$163.89,$162.08
04/04/2023,$164.38,1200746,$165.15,$165.39,$163.51
04/03/2023,$164.46,1533033,$165.43,$166.04,$163.321
03/31/2023,$166.04,1514268,$164.29,$166.68,$164.29
03/30/2023,$162.67,1175805,$163.915,$164.50,$162.41
03/29/2023,$162.13,1752201,$160.22,$162.68,$160.15
03/28/2023,$158.98,1825970,$155.89,$159.07,$155.80
03/27/2023,$156.58,1637479,$158.15,$158.84,$156.05
03/24/2023,$156.56,2510668,$157.95,$158.27,$153.56
03/23/2023,$159.98,2423288,$163.81,$165.8532,$158.50
03/22/2023,$163.21,2397638,$167.30,$167.56,$163.12
03/21/2023,$167.76,2327800,$164.97,$168.33,$164.935
03/20/2023,$163.04,2342738,$159.66,$163.39,$159.20
03/17/2023,$158.77,2480163,$159.86,$160.38,$157.435
03/16/2023,$161.13,1886979,$157.56,$161.74,$157.00
03/15/2023,$158.33,2757734,$158.94,$159.23,$155.53
03/14/2023,$162.69,1901294,$163.02,$164.90,$161.28
03/13/2023,$160.56,2394711,$162.54,$162.72,$158.935
03/10/2023,$164.53,1710771,$166.94,$168.82,$164.00
03/09/2023,$167.73,1870970,$173.46,$173.70,$167.44
03/08/2023,$173.44,1184562,$173.64,$174.94,$172.415
03/07/2023,$173.57,1436244,$175.58,$176.775,$173.03
03/06/2023,$175.12,2136106,$173.29,$176.99,$173.29
03/03/2023,$173.07,1406475,$171.85,$173.58,$171.08
03/02/2023,$170.90,1254290,$169.39,$171.57,$167.86
03/01/2023,$169.44,1799578,$169.42,$170.79,$168.37
02/28/2023,$169.24,2709689,$169.56,$171.04,$168.86
02/27/2023,$169.61,1543050,$171.76,$172.08,$169.26
02/24/2023,$170.33,1642378,$169.47,$170.68,$169.00
02/23/2023,$171.94,1382673,$171.53,$172.865,$169.85
02/22/2023,$170.59,1250459,$170.04,$171.79,$169.20
02/21/2023,$170.68,1817835,$170.76,$172.29,$169.845
02/17/2023,$172.52,1890043,$174.63,$174.69,$171.11
02/16/2023,$175.79,2277920,$177.40,$179.66,$175.44
02/15/2023,$180.59,2563243,$180.92,$181.26,$179.18
02/14/2023,$181.27,3366209,$175.72,$181.55,$171.53
02/13/2023,$174.37,1995357,$172.03,$175.0325,$171.73
02/10/2023,$171.37,1544692,$173.14,$174.08,$170.06
02/09/2023,$174.90,1525374,$175.56,$177.59,$174.25
02/08/2023,$174.01,1520221,$173.72,$175.0199,$173.00
02/07/2023,$175.42,1808863,$172.00,$176.53,$170.84
02/06/2023,$172.32,1485882,$172.72,$173.94,$171.72
02/03/2023,$174.43,1504506,$173.99,$175.71,$172.90
02/02/2023,$176.17,1145476,$176.60,$177.58,$175.02
02/01/2023,$175.36,1456267,$173.02,$176.70,$171.01
01/31/2023,$174.18,1329080,$171.45,$174.22,$170.81
01/30/2023,$171.20,2041967,$172.36,$173.52,$171.03
01/27/2023,$174.33,1637044,$174.50,$176.572,$174.02
01/26/2023,$174.58,1620137,$173.465,$174.67,$172.59
01/25/2023,$172.33,1881588,$167.62,$172.94,$167.62
01/24/2023,$169.63,1645133,$168.57,$169.70,$167.59
01/23/2023,$169.02,2585452,$166.00,$169.80,$165.07
01/20/2023,$166.91,2330283,$160.67,$167.15,$160.16
01/19/2023,$161.03,2184894,$158.44,$161.935,$158.25
01/18/2023,$159.79,2188004,$162.30,$163.75,$159.70
01/17/2023,$160.99,2570481,$161.28,$162.57,$160.44
01/13/2023,$161.78,1532615,$159.59,$162.11,$159.18
01/12/2023,$159.99,1627054,$158.37,$160.59,$157.68
01/11/2023,$158.47,1712693,$154.16,$158.58,$153.93
01/10/2023,$153.16,1275249,$152.44,$153.785,$151.50
01/09/2023,$152.53,1864551,$151.76,$155.38,$151.65
01/06/2023,$153.38,1588966,$150.54,$153.91,$150.03
01/05/2023,$148.88,1542375,$149.01,$150.09,$147.96
01/04/2023,$149.86,1731266,$149.24,$151.24,$149.10
01/03/2023,$147.75,1686198,$149.85,$150.73,$147.10
12/30/2022,$148.89,1542129,$147.01,$149.05,$146.42
12/29/2022,$147.97,1431888,$146.92,$148.80,$146.26
12/28/2022,$145.60,1321584,$148.53,$149.37,$145.58
12/27/2022,$148.35,1349955,$149.02,$149.38,$147.94
12/23/2022,$148.58,1067627,$146.32,$148.90,$146.32
12/22/2022,$147.22,1837689,$147.23,$148.53,$145.37
12/21/2022,$148.75,2284481,$151.35,$152.09,$147.75
